location,date,total_cases,total_deaths
Brazil,2020-06-06,465166.0,27878.0
Brazil,2020-06-07,645771.0,35026.0
Brazil,2020-06-08,645771.0,35026.0
Brazil,2020-06-09,645771.0,35026.0
Brazil,2020-06-10,645771.0,35026.0
Brazil,2020-06-11,645771.0,35026.0
Brazil,2020-06-12,645771.0,35026.0
Brazil,2020-06-13,645771.0,35026.0
Brazil,2020-06-14,828810.0,41828.0
Brazil,2020-06-15,828810.0,41828.0
Brazil,2020-06-16,828810.0,41828.0
Brazil,2020-06-17,828810.0,41828.0
Brazil,2020-06-18,828810.0,41828.0
Brazil,2020-06-19,828810.0,41828.0
Brazil,2020-06-20,828810.0,41828.0
Brazil,2020-06-21,1032913.0,48954.0
Brazil,2020-06-22,1032913.0,48954.0
Brazil,2020-06-23,1032913.0,48954.0
Brazil,2020-06-24,1032913.0,48954.0
Brazil,2020-06-25,1032913.0,48954.0
Brazil,2020-06-26,1032913.0,48954.0
Brazil,2020-06-27,1032913.0,48954.0
Brazil,2020-06-28,1274974.0,55961.0
Brazil,2020-06-29,1274974.0,55961.0
Brazil,2020-06-30,1274974.0,55961.0
Brazil,2020-07-01,1274974.0,55961.0
Brazil,2020-07-02,1274974.0,55961.0
Brazil,2020-07-03,1274974.0,55961.0
Brazil,2020-07-04,1274974.0,55961.0
Brazil,2020-07-05,1539081.0,63174.0
Brazil,2020-07-06,1539081.0,63174.0
Brazil,2020-07-07,1539081.0,63174.0
Brazil,2020-07-08,1539081.0,63174.0
Brazil,2020-07-09,1539081.0,63174.0
Brazil,2020-07-10,1539081.0,63174.0
Brazil,2020-07-11,1539081.0,63174.0
Brazil,2020-07-12,1800827.0,70398.0
Brazil,2020-07-13,1800827.0,70398.0
Brazil,2020-07-14,1800827.0,70398.0
Brazil,2020-07-15,1800827.0,70398.0
Brazil,2020-07-16,1800827.0,70398.0
Brazil,2020-07-17,1800827.0,70398.0
Brazil,2020-07-18,1800827.0,70398.0
Brazil,2020-07-19,2046328.0,77851.0
Brazil,2020-07-20,2046328.0,77851.0
Brazil,2020-07-21,2046328.0,77851.0
Brazil,2020-07-22,2046328.0,77851.0
Brazil,2020-07-23,2046328.0,77851.0
Brazil,2020-07-24,2046328.0,77851.0
Brazil,2020-07-25,2046328.0,77851.0
Brazil,2020-07-26,2343366.0,85238.0
Brazil,2020-07-27,2343366.0,85238.0
Brazil,2020-07-28,2343366.0,85238.0
Brazil,2020-07-29,2343366.0,85238.0
Brazil,2020-07-30,2343366.0,85238.0
Brazil,2020-07-31,2343366.0,85238.0
Brazil,2020-08-01,2343366.0,85238.0
Brazil,2020-08-02,2662485.0,92475.0
Brazil,2020-08-03,2662485.0,92475.0
Brazil,2020-08-04,2662485.0,92475.0
Brazil,2020-08-05,2662485.0,92475.0
Brazil,2020-08-06,2662485.0,92475.0
Brazil,2020-08-07,2662485.0,92475.0
Brazil,2020-08-08,2662485.0,92475.0
Brazil,2020-08-09,2962442.0,99572.0
Brazil,2020-08-10,2962442.0,99572.0
Brazil,2020-08-11,2962442.0,99572.0
Brazil,2020-08-12,2962442.0,99572.0
Brazil,2020-08-13,2962442.0,99572.0
Brazil,2020-08-14,2962442.0,99572.0
Brazil,2020-08-15,2962442.0,99572.0
Brazil,2020-08-16,3275520.0,106523.0
Brazil,2020-08-17,3275520.0,106523.0
Brazil,2020-08-18,3275520.0,106523.0
Brazil,2020-08-19,3275520.0,106523.0
Brazil,2020-08-20,3275520.0,106523.0
Brazil,2020-08-21,3275520.0,106523.0
Brazil,2020-08-22,3275520.0,106523.0
Brazil,2020-08-23,3532330.0,113358.0
Brazil,2020-08-24,3532330.0,113358.0
Brazil,2020-08-25,3532330.0,113358.0
Brazil,2020-08-26,3532330.0,113358.0
Brazil,2020-08-27,3532330.0,113358.0
Brazil,2020-08-28,3532330.0,113358.0
Brazil,2020-08-29,3532330.0,113358.0
Brazil,2020-08-30,3804803.0,119504.0
Brazil,2020-08-31,3804803.0,119504.0
Brazil,2020-09-01,3804803.0,119504.0
Brazil,2020-09-02,3804803.0,119504.0
Brazil,2020-09-03,3804803.0,119504.0
Brazil,2020-09-04,3804803.0,119504.0
Brazil,2020-09-05,3804803.0,119504.0
Brazil,2020-09-06,4092832.0,125521.0
Brazil,2020-09-07,4092832.0,125521.0
Brazil,2020-09-08,4092832.0,125521.0
Brazil,2020-09-09,4092832.0,125521.0
Brazil,2020-09-10,4092832.0,125521.0
Brazil,2020-09-11,4092832.0,125521.0
Brazil,2020-09-12,4092832.0,125521.0
Brazil,2020-09-13,4282164.0,130396.0
Brazil,2020-09-14,4282164.0,130396.0
Brazil,2020-09-15,4282164.0,130396.0
Brazil,2020-09-16,4282164.0,130396.0
Brazil,2020-09-17,4282164.0,130396.0
Brazil,2020-09-18,4282164.0,130396.0
Brazil,2020-09-19,4282164.0,130396.0
Brazil,2020-09-20,4495183.0,135793.0
Brazil,2020-09-21,4495183.0,135793.0
Brazil,2020-09-22,4495183.0,135793.0
Brazil,2020-09-23,4495183.0,135793.0
Brazil,2020-09-24,4495183.0,135793.0
Brazil,2020-09-25,4495183.0,135793.0
Brazil,2020-09-26,4495183.0,135793.0
Brazil,2020-09-27,4689613.0,140537.0
Brazil,2020-09-28,4689613.0,140537.0
Brazil,2020-09-29,4689613.0,140537.0
Brazil,2020-09-30,4689613.0,140537.0
Brazil,2020-10-01,4689613.0,140537.0
Brazil,2020-10-02,4689613.0,140537.0
Brazil,2020-10-03,4689613.0,140537.0
Brazil,2020-10-04,4880523.0,145388.0
Brazil,2020-10-05,4880523.0,145388.0
Brazil,2020-10-06,4880523.0,145388.0
Brazil,2020-10-07,4880523.0,145388.0
Brazil,2020-10-08,4880523.0,145388.0
Brazil,2020-10-09,4880523.0,145388.0
Brazil,2020-10-10,4880523.0,145388.0
Brazil,2020-10-11,5055888.0,149639.0
Brazil,2020-10-12,5055888.0,149639.0
Brazil,2020-10-13,5055888.0,149639.0
Brazil,2020-10-14,5055888.0,149639.0
Brazil,2020-10-15,5055888.0,149639.0
Brazil,2020-10-16,5055888.0,149639.0
Brazil,2020-10-17,5055888.0,149639.0
Brazil,2020-10-18,5200300.0,153214.0
Brazil,2020-10-19,5200300.0,153214.0
Brazil,2020-10-20,5200300.0,153214.0
Brazil,2020-10-21,5200300.0,153214.0
Brazil,2020-10-22,5200300.0,153214.0
Brazil,2020-10-23,5200300.0,153214.0
Brazil,2020-10-24,5200300.0,153214.0
Brazil,2020-10-25,5353656.0,156471.0
Brazil,2020-10-26,5353656.0,156471.0
Brazil,2020-10-27,5353656.0,156471.0
Brazil,2020-10-28,5353656.0,156471.0
Brazil,2020-10-29,5353656.0,156471.0
Brazil,2020-10-30,5353656.0,156471.0
Brazil,2020-10-31,5353656.0,156471.0
